nome,status flora brasil,nome flora brasil,status plantlist,plantlist,flora brasil x plantlist
Eriocaulon setaceum L.,,Eriocaulon setaceum L.,sinonimo,Fimbristylis acicularis R.Br.,diferente
Leiothrix pilulifera Ruhl. ,,Leiothrix pilulifera (Körn.) Ruhland,,Leiothrix pilulifera (Körn.) Ruhland,
Leiothrix rufula  (A. St.-Hil.) Ruhl. ,,Leiothrix rufula (A.St.-Hil.) Ruhland,,Leiothrix rufula (A.St.-Hil.) Ruhland,
Paepalanthus bifidus (Schrad.) Kunth ,,Paepalanthus bifidus (Schrad.) Kunth,,Paepalanthus bifidus (Schrad. ex Schult.) Kunth,diferente
Paepalanthus lamarckii Kunth ,,Paepalanthus lamarckii Kunth,,Paepalanthus lamarckii Kunth,
Paepalanthus planifolius (Bong.) Koern.,,Paepalanthus planifolius (Bong.) Körn.,,Paepalanthus planifolius (Bong.) Körn.,
Paepalanthus tortilis (Bong.) Mart.,,Paepalanthus tortilis (Bong.) Mart.,,Paepalanthus tortilis (Bong.) Mart. ex Körn.,diferente
Syngonanthus anomalus (Körn.) Ruhland ,,Syngonanthus anomalus (Körn.) Ruhland,,Syngonanthus anomalus (Körn.) Ruhland,
Syngonanthus caulescens (Poir.) Ruhland ,,Syngonanthus caulescens (Poir.) Ruhland,,Syngonanthus caulescens (Poir.) Ruhland,
Syngonanthus chrysanthus (Bong.) Ruhl.,,Syngonanthus chrysanthus (Bong.) Ruhland,,Syngonanthus chrysanthus (Bong.) Ruhland,
Syngonanthus glandulosus Gleason,sinonimo,Syngonanthus caulescens (Poir.) Ruhland,sinonimo,Syngonanthus caulescens (Poir.) Ruhland,
Syngonanthus gracilis (Bong.) Ruhland,,Syngonanthus gracilis (Bong.) Ruhland,,Syngonanthus gracilis (Bong.) Ruhland,
Syngonanthus oblongus (Körn.) Ruhland ,,Syngonanthus oblongus (Körn.) Ruhland,,Syngonanthus oblongus (Körn.) Ruhland,
Syngonanthus xeranthemoides (Bong.) Ruhland,sinonimo,Comanthera xeranthemoides (Bong.) L.R.Parra & Giul. var. xeranthemoides,sinonimo,Comanthera xeranthemoides (Bong.) L.R.Parra & Giul.,diferente
Tonina fluviatilis Aubl. ,,Tonina fluviatilis Aubl.,,Tonina fluviatilis Aubl.,
Acalypha arvensis Poepp. ,,Acalypha arvensis Poepp.,sinonimo,Acalypha aristata Kunth,diferente
Acalypha poiretii Spreng. ,,Acalypha poiretii Spreng.,,Acalypha poiretii Spreng.,
Argythamnia heteropetala (Didr.) Kuntze,sinonimo,Caperonia heteropetala Didr.,sinonimo,Caperonia heteropetala Didr.,
Astraea lobata (L.) Klotzsch,,Astraea lobata (L.) Klotzsch,,Astraea lobata (L.) Klotzsch,
Caperonia castaneifolia A. St.-Hil. ,,Caperonia castaneifolia (L.) A.St.-Hil.,,Caperonia castaneifolia (L.) A.St.-Hil.,
Caperonia histrix Pax & Hoffm.,nao_encontrado,,nao_encontrado,,
Caperonia palustris (L.) A.St.-Hil. ,,Caperonia palustris (L.) A.St.-Hil.,,Caperonia palustris (L.) A.St.-Hil.,
Croton trinitatis Millsp. ,,Croton trinitatis Millsp.,,Croton trinitatis Millsp.,
Dalechampia scandens L. ,,Dalechampia scandens L.,sinonimo,Dalechampia scandens var. kurzii (Hook.f.) Chakrab. & N.P.Balakr.,diferente
Dalechampia tiliifolia Lam. ,,Dalechampia tiliifolia Lam.,,Dalechampia tiliifolia Lam.,
Euphorbia hirta L.,,Euphorbia hirta L.,,Euphorbia hirta L.,
Euphorbia hyssopifolia L.,,Euphorbia hyssopifolia L.,,Euphorbia hyssopifolia L.,
Euphorbia prostrata Aiton,,Euphorbia prostrata Aiton,sinonimo,Euphorbia chamaesyce L.,diferente
Euphorbia thymifolia L. ,,Euphorbia thymifolia L.,sinonimo,Euphorbia scordiifolia Jacq.,diferente
Sapium glandulatum (Vell.) Pax ,sinonimo,Sapium glandulosum (L.) Morong,sinonimo,Sapium glandulosum (L.) Morong,
Sesbania schottiana (M. Arg.) M. Arg.,nao_encontrado,,nao_encontrado,,
Tonina fluviatilis Aubl.,,Tonina fluviatilis Aubl.,,Tonina fluviatilis Aubl.,
Adesmia latifolia (Spr.) Vogel,,Adesmia latifolia (Spreng.) Vogel,,Adesmia latifolia (Spreng.) Vogel,
Aeschynomene americana L. ,,Aeschynomene americana var. glandulosa (Poir.) Rudd,,Aeschynomene americana L.,diferente
Aeschynomene ciliata Vog. ,,Aeschynomene ciliata Vogel,,Aeschynomene ciliata Vogel,
Aeschynomene denticulata Rudd.,,Aeschynomene denticulata Rudd,,Aeschynomene denticulata Rudd,
Aeschynomene evenia C. Wright and Sauvalle,,Aeschynomene evenia C.Wright & Sauvalle,,Aeschynomene evenia C.Wright,diferente
Aeschynomene filosa Mart. ,,Aeschynomene filosa Mart.,,Aeschynomene filosa Benth.,diferente
Aeschynomene fluminensis Vell. ,,Aeschynomene fluminensis Vell.,,Aeschynomene fluminensis Vell.,
Aeschynomene indica L.,nao_encontrado,,,Aeschynomene indica L.,
Aeschynomene mollicula L.,,Aeschynomene mollicula Kunth,,Aeschynomene mollicula Kunth,
Aeschynomene montevidensis Vogel,,Aeschynomene montevidensis Vogel,,Aeschynomene montevidensis Vogel,
Aeschynomene paniculata Willd. ex Vogel ,,Aeschynomene paniculata Willd. ex Vogel,,Aeschynomene paniculata Vogel,diferente
Aeschynomene rudis Benth. ,,Aeschynomene rudis Benth.,,Aeschynomene rudis Benth.,
Aeschynomene scabra G.Don,,Aeschynomene scabra G.Don,,Aeschynomene scabra G.Don,
Aeschynomene sensitiva Sw. ,,Aeschynomene sensitiva var. hispidula (Kunth) Rudd,,Aeschynomene sensitiva Sw.,diferente
"Aeschynomene virginica (L.) Britton, Sterns & Poggenb.",nao_encontrado,,,Aeschynomene virginica (L.) Britton & al.,
Anadenanthera colubrina (Vell.) Brenan,,Anadenanthera colubrina (Vell.) Brenan,,Anadenanthera colubrina (Vell.) Brenan,
Calopogonium mucunoides Desv. ,,Calopogonium mucunoides Desv.,,Calopogonium mucunoides Desv.,
Centrosema brasilianum (L.) Benth.,,Centrosema brasilianum (L.) Benth. var. brasilianum,,Centrosema brasilianum (L.) Benth.,diferente
Centrosema pubescens Benth.,,Centrosema pubescens Benth.,,Centrosema pubescens Benth.,
Chamaecrista calycioides (DC. ex Collad.) Greene ,,Chamaecrista calycioides (DC. ex Collad.) Greene,,Chamaecrista calycioides (Collad.) Greene,diferente
Chamaecrista diphylla (L.) Greene ,,Chamaecrista diphylla (L.) Greene,,Chamaecrista diphylla (L.) Greene,
Chamaecrista hispidula (Vahl) H.S.Irwin & Barneby,,Chamaecrista hispidula (Vahl) H.S.Irwin & Barneby,,Chamaecrista hispidula (Vahl) H.S.Irwin & Barneby,
Chamaecrista nictitans (L.) Moench,,Chamaecrista nictitans (L.) Moench,,Chamaecrista nictitans (L.) Moench,
Chamaecrista repens (Vogel) H.S.Irwin & Barneby ,,Chamaecrista repens (Vogel) H.S.Irwin & Barneby var. repens,,Chamaecrista repens (Vogel) H.S.Irwin & Barneby,diferente
Clitoria falcata Lam. ,,Clitoria falcata Lam.,sinonimo,Periandra coccinea (Schrad.) Benth.,diferente
Clitoria guianensis (Aubl.) Benth. ,,Clitoria guianensis (Aubl.) Benth. var. guianensis,,Clitoria guianensis (Aubl.) Benth.,diferente
Clitoria laurifolia Poir. ,,Clitoria laurifolia Poir.,sinonimo,Centrosema vexillatum Benth.,diferente
Collaea speciosa (Loisel.) DC.,,Collaea speciosa (Loisel.) DC.,,Collaea speciosa (Loisel.) DC.,
Crotalaria brevifolia DC.,nao_encontrado,,nao_encontrado,,
Crotalaria micans Link ,,Crotalaria micans Link,,Crotalaria micans Link,
Crotalaria nitens Kunth ,,Crotalaria nitens Kunth,,Crotalaria nitens Kunth,
Crotalaria pallida Aiton ,,Crotalaria pallida Aiton,sinonimo,Crotalaria pallida Aiton,
Crotalaria pilosa Mill. ,,Crotalaria pilosa Mill.,,Crotalaria pilosa Mill.,
Crotalaria sagittalis L. ,,Crotalaria sagittalis L.,,Crotalaria sagittalis L.,
Cymbosema roseum Benth. ,,Cymbosema roseum Benth.,,Cymbosema roseum Benth.,
Dalbergia ecastophyllum (L.) Taub. ,nao_encontrado,,sinonimo,Dalbergia ecastaphyllum (L.) Taub.,
Desmodium adscendens (Sw.) DC.,,Desmodium adscendens (Sw.) DC.,,Desmodium adscendens (Sw.) DC.,
Desmodium barbatum (L.) Benth. ,,Desmodium barbatum (L.) Benth.,,Desmodium barbatum (L.) Benth.,
Desmodium incanum (Sw.) DC.,,Desmodium incanum (Sw.) DC.,,Desmodium incanum DC.,diferente
Desmodium tortuosum (Sw.) DC.,,Desmodium tortuosum (Sw.) DC.,Não resolvido,"Desmodium tortuosum ""sensu Hepper, p.p.""",diferente
Dioclea grandiflora Mart. ex Benth.,,Dioclea grandiflora Mart. ex Benth.,,Dioclea grandiflora Benth.,diferente
Dioclea guianensis Benth. ,,Dioclea guianensis Benth.,,Dioclea guianensis Benth.,
Discolobium leptophyllum Benth.,,Discolobium leptophyllum Benth.,,Discolobium leptophyllum Benth.,
Discolobium psoraliaefolium Benth. ,nao_encontrado,,nao_encontrado,,
Discolobium pulchellum Benth. ,,Discolobium pulchellum Benth.,,Discolobium pulchellum Benth.,
Eriosema simplicifolium (DC.) G. Don ,,Eriosema simplicifolium (Kunth) G.Don,,Eriosema simplicifolium (Kunth) G.Don,
Erythrina crista-galli L.,,Erythrina crista-galli L.,,Erythrina crista-galli L.,
Indigofera hirsuta L. ,,Indigofera hirsuta L.,,Indigofera hirsuta L.,
Indigofera lespedezioides Kunth ,,Indigofera lespedezioides Kunth,,Indigofera lespedezioides Kunth,
Indigofera sabulicola Benth.,,Indigofera sabulicola Benth.,sinonimo,Indigofera microcarpa Desv.,diferente
Inga affinis DC.,sinonimo,Inga vera subsp. affinis (DC.) T.D.Penn.,,Inga affinis DC.,diferente
Inga marginata Willd.,,Inga marginata Willd.,sinonimo,Inga semialata (Vell.) C.Mart.,diferente
Inga sessilis (Vell.) Mart.,,Inga sessilis (Vell.) Mart.,,Inga sessilis (Vell.) Mart.,
Inga uruguensis Hook. & Arn.,sinonimo,Inga vera subsp. affinis (DC.) T.D.Penn.,,Inga uruguensis Hook. & Arn.,diferente
Lonchocarpus sericeus (Poir.) Kunth ex DC. ,,Lonchocarpus sericeus (Poir.) Kunth ex DC.,,Lonchocarpus sericeus (Poir.) DC.,diferente
Macrolobium multijugum (DC.) Benth. ,,Macrolobium multijugum (DC.) Benth.,,Macrolobium multijugum (DC.) Benth.,
Macroptilium gracile (Poepp. ex Benth.) Urb. ,,Macroptilium gracile (Poepp. ex Benth.) Urb.,,Macroptilium gracile (Benth.) Urb.,diferente
Macroptilium lathyroides (L.) Urb.,,Macroptilium lathyroides (L.) Urb.,,Macroptilium lathyroides (L.) Urb.,
Mimosa bimucronata (DC.) Kuntze,,Mimosa bimucronata (DC.) Kuntze,,Mimosa bimucronata (DC.) Kuntze,
Mimosa debilis Humb. & Bonpl. ex Willd. ,,Mimosa debilis var. amnis-mortium Barneby,,Mimosa debilis Willd.,diferente
Mimosa dormiens Humb. & Bonpl. ex Willd. ,,Mimosa dormiens Humb. & Bonpl. ex Willd.,,Mimosa dormiens Willd.,diferente
Mimosa invisa Mart. ex Colla ,,Mimosa invisa Mart. ex Colla,,Mimosa invisa Colla,diferente
Mimosa pellita Humb. & Bonpl. ex Willd. ,,Mimosa pellita Humb. & Bonpl. ex Willd.,,Mimosa pellita Willd.,diferente
Mimosa pigra L.,,Mimosa pigra var. dehiscens (Barneby) Glazier & Mackinder,,Mimosa pigra L.,diferente
Mimosa pudica L.,,Mimosa pudica var. hispida Brenan,,Mimosa pudica L.,diferente
Mimosa setosa Benth. ,,Mimosa setosa Benth.,,Mimosa setosa Benth.,
Neptunia oleracea Lour. ,,Neptunia oleracea Lour.,,Neptunia oleracea Lour.,
Neptunia plena (L.) Benth.,,Neptunia plena (L.) Benth.,,Neptunia plena (L.) Benth.,
Neptunia prostrata (Lam.) Baill.,sinonimo,Neptunia oleracea Lour.,sinonimo,Neptunia oleracea Lour.,
Rhynchosia minima (L.) DC. ,,Rhynchosia minima (L.) DC.,,Rhynchosia minima (L.) DC.,
Senna corymbosa (Lam.) Irwin & Barneby,,Senna corymbosa (Lam.) H.S.Irwin & Barneby,,Senna corymbosa (Lam.) H.S.Irwin & Barneby,
Senna obtusifolia (L.) H.S.Irwin & Barneby,,Senna obtusifolia (L.) H.S.Irwin & Barneby,,Senna obtusifolia (L.) H.S.Irwin & Barneby,
Senna occidentalis (L.) Link ,,Senna occidentalis (L.) Link,,Senna occidentalis (L.) Link,
Senna reticulata (Willd.) H.S. Irwin & Barneby ,,Senna reticulata (Willd.) H.S.Irwin & Barneby,,Senna reticulata (Willd.) H.S.Irwin & Barneby,
Senna uniflora (Mill.) H.S. Irwin & Barneby ,,Senna uniflora (Mill.) H.S.Irwin & Barneby,,Senna uniflora (Mill.) H.S.Irwin & Barneby,
Sesbania exasperata Kunth ,,Sesbania exasperata Kunth,,Sesbania exasperata Kunth,
Sesbania punicea (Cav.) Burkart ,,Sesbania punicea (Cav.) Benth.,,Sesbania punicea (Cav.) Benth.,
Stylosanthes angustifolia Vog. ,,Stylosanthes angustifolia Vogel,,Stylosanthes angustifolia Vogel,
Stylosanthes gracilis Kunth,,Stylosanthes gracilis Kunth,sinonimo,Stylosanthes guianensis (Aubl.) Sw.,diferente
Stylosanthes guianensis (Aubl.) Sw.,,Stylosanthes guianensis (Aubl.) Sw.,,Stylosanthes guianensis (Aubl.) Sw.,
Stylosanthes scabra Vogel,,Stylosanthes scabra Vogel,,Stylosanthes scabra Vogel,
Stylosanthes viscosa (L.) Sw.,,Stylosanthes viscosa (L.) Sw.,,Stylosanthes viscosa Sw.,diferente
Tephrosia purpurea (L.) Pers. ,sinonimo,Tephrosia domingensis (Willd.) Pers.,Não resolvido,Tephrosia purpurea sensu Baker,diferente
Teramnus volubilis Sw. ,,Teramnus volubilis Sw.,,Teramnus volubilis Sw.,
Vachellia farnesiana (L.) Wight & Arn.,,Vachellia farnesiana (L.) Wight & Arn.,sinonimo,Acacia farnesiana (L.) Willd.,diferente
Vigna juruana (Harms) Verdc. ,,Vigna juruana (Harms) Verdc.,,Vigna juruana (Harms) Verdc.,
Vigna lasiocarpa (Mart.ex Benth.) Verdc.,,Vigna lasiocarpa (Mart.ex Benth.) Verdc.,,Vigna lasiocarpa (Benth.) Verdc.,diferente
Vigna longifolia (Benth.) Verdc. ,,Vigna longifolia (Benth.) Verdc.,,Vigna longifolia (Benth.) Verdc.,
Vigna luteola (Jacq.) Benth.,,Vigna luteola (Jacq.) Benth.,,Vigna luteola (Jacq.) Benth.,
Zornia guanipensis Pittier ,,Zornia guanipensis Pittier,sinonimo,Zornia marajoara Huber,diferente
Zornia latifolia Sm. ,,Zornia latifolia Sm.,sinonimo,Zornia sericea Moric.,diferente
Coutoubea ramosa Aubl. ,,Coutoubea ramosa Aubl.,,Coutoubea ramosa Aubl.,
Coutoubea spicata Aubl. ,,Coutoubea spicata Aubl.,,Coutoubea spicata Aubl.,
Curtia tenuifolia (Aubl.) Knobl. ,,Curtia tenuifolia (Aubl.) Knobl.,,Curtia tenuifolia (Aubl.) Knobl.,
Irlbachia alata (Aubl.) Maas,sinonimo,Chelonanthus alatus (Aubl.) Pulle,sinonimo,Chelonanthus alatus (Aubl.) Pulle,
Irlbachia purpurascens (Aubl.) Maas,sinonimo,Chelonanthus purpurascens (Aubl.) Struwe et al.,sinonimo,"Chelonanthus purpurascens (Aubl.) Struwe, S.Nilsson & V.A.Albert",diferente
Schultesia benthamiana Klotzsch ,,Schultesia benthamiana Klotzsch ex Griseb.,,Schultesia benthamiana Klotzsch ex Griseb.,
Schultesia brachyptera Cham. ,,Schultesia brachyptera Cham.,,Schultesia brachyptera Cham.,
Schultesia gracilis Mart. ,,Schultesia gracilis Mart.,,Schultesia gracilis Mart.,
Schultesia guianensis (Aubl.) Malme,,Schultesia guianensis (Aubl.) Malme,,Schultesia guianensis (Aubl.) Malme,
Schultesia optera Cham.,nao_encontrado,,nao_encontrado,,
Drymonia coccinea (Aubl.) Wiehler ,,Drymonia coccinea (Aubl.) Wiehler,,Drymonia coccinea (Aubl.) Wiehler,
Sinningia elatior (Kunth) Chautems ,,Sinningia elatior (Kunth) Chautems,,Sinningia elatior (Kunth) Chautems,
Schiekia orinocensis (Kunth) Meisn.,,Schiekia orinocensis (Kunth) Meisn.,,Schiekia orinocensis (Kunth) Meisn.,
Laurembergia tetrandra (Schott) Kanitz,,Laurembergia tetrandra (Schott) Kanitz,,Laurembergia tetrandra (Schott) Kanitz,
Myriophyllum aquaticum (Vell.) Verdc.,,Myriophyllum aquaticum (Vell.) Verdc.,,Myriophyllum aquaticum (Vell.) Verdc.,
Myriophyllum elatinoides Gaud.,sinonimo,Myriophyllum quitense Kunth,sinonimo,Myriophyllum quitense Kunth,
Proserpinaca palustris L.,,Proserpinaca palustris L.,,Proserpinaca palustris L.,
Heliconia marginata (Griggs) Pittier,,Heliconia marginata (Griggs) Pittier,,Heliconia marginata (Griggs) Pittier,
Heliconia psittacorum L.f. ,,Heliconia psittacorum L.f.,,Heliconia psittacorum L.f.,
Apalanthe granatensis (Bonpl.) Planch. ,,Apalanthe granatensis (Bonpl.) Planch.,sinonimo,Elodea granatensis Humb. & Bonpl.,diferente
Egeria densa Planch.,,Egeria densa Planch.,,Egeria densa Planch.,
Egeria najas Planch.,,Egeria najas Planch.,,Egeria najas Planch.,
Elodea canadensis Michx.,,Elodea canadensis Michx.,,Elodea canadensis Michx.,
Halophila decipiens Ostenf.,,Halophila decipiens Ostenf.,,Halophila decipiens Ostenf.,
Hydrilla verticillata (L.f.) Royle,nao_encontrado,,,Hydrilla verticillata (L.f.) Royle,
Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine ,,Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine,,Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine,
Najas argurta Kunth,nao_encontrado,,nao_encontrado,,
Najas conferta (A.Braun) A.Braun ,,Najas conferta (A.Braun) A.Braun,,Najas conferta (A.Braun) A.Braun,
Najas guadalupensis (Spreng.) Magnus,,Najas guadalupensis (Spreng.) Magnus,,Najas guadalupensis (Spreng.) Magnus,
Najas marina L.,,Najas marina L.,,Najas marina L.,
Najas microcarpa K. Schum.,,Najas microcarpa K.Schum.,sinonimo,Najas marina L.,diferente
Najas microdon A. Br.,sinonimo,Najas guadalupensis (Spreng.) Magnus subsp. guadalupensis,sinonimo,Najas guadalupensis (Spreng.) Magnus,diferente
Ottelia brasiliensis (Planch.) Walp. ,,Ottelia brasiliensis (Planch.) Walp.,,Ottelia brasiliensis (Planch.) Walp.,
Hydrolea elatior Schott ,,Hydrolea elatior Schott,,Hydrolea elatior Schott,
Hydrolea spinosa L.,,Hydrolea spinosa L.,,Hydrolea spinosa L.,
Hypericum brasiliense Choisy ,,Hypericum brasiliense Choisy,,Hypericum brasiliense Choisy,
Hypericum mutilum L.,,Hypericum mutilum L.,,Hypericum mutilum L.,
Vismia cayennensis (Jacq.) Pers.,,Vismia cayennensis (Jacq.) Pers.,,Vismia cayennensis (Jacq.) Pers.,
Curculigo scorzonerifolia (Lam.) Baker ,,Curculigo scorzonerifolia (Lam.) Baker,,Curculigo scorzonerifolia (Lam.) Baker,
Hypoxis decumbens L.,,Hypoxis decumbens L.,sinonimo,Hypoxis villosa L.f.,diferente
Cipura paludosa Aubl. ,,Cipura paludosa Aubl.,,Cipura paludosa Aubl.,
Sisyrinchium micranthum Cav.,,Sisyrinchium micranthum Cav.,,Sisyrinchium micranthum Cav.,
Sisyrinchium vaginatum Spreng. ,,Sisyrinchium vaginatum Spreng.,,Sisyrinchium vaginatum Spreng.,
Isoetes brasiliensis H.P. Fuchs,,Isoetes brasiliensis H.P.Fuchs,nao_encontrado,,diferente
Isoetes ekmanii Weber,nao_encontrado,,Não resolvido,Isoetes ekmanii U. Weber,
Juncus acutus L.,,Juncus acutus L.,,Juncus acutus L.,
Juncus bufonius L. ,,Juncus bufonius L.,,Juncus bufonius L.,
Juncus capillaceus Lam. ,,Juncus capillaceus Lam.,,Juncus capillaceus Lam.,
Juncus densiflorus Kunth,,Juncus densiflorus Kunth,,Juncus densiflorus Kunth,
Juncus dichotomus Elliot,nao_encontrato,,,Juncus dichotomus Elliott,
Juncus dombeyanus J. Gay ex Lah. ,sinonimo,Juncus pallescens Lam.,sinonimo,Juncus pallescens Lam.,
Juncus effusus L. ,,Juncus effusus L.,,Juncus effusus L.,
Juncus marginatus Rostk. ,,Juncus marginatus Rostk.,,Juncus marginatus Rostk.,
Juncus microcephalus Kunth ,,Juncus microcephalus Kunth,,Juncus microcephalus Kunth,
Juncus sellowianus Kunth,sinonimo,Juncus microcephalus Kunth,sinonimo,Juncus microcephalus Kunth,
Juncus scirpoides Lam. ,,Juncus scirpoides Lam.,,Juncus scirpoides Lam.,
Lilaea scilloides (Poir.) Hauman ,,Lilaea scilloides (Poir.) Hauman,sinonimo,Triglochin scilloides (Poir.) Mering & Kadereit,diferente
Triglochin striata Ruiz & Pavon ,,Triglochin striata Ruiz & Pav.,,Triglochin striata Ruiz & Pav.,
Hyptis atrorubens Poit.,,Hyptis atrorubens Poit.,,Hyptis atrorubens Poit.,
Hyptis brevipes Poit. ,,Hyptis brevipes Poit.,,Hyptis brevipes Poit.,
Hyptis caespitosa A. St.-Hil,,Hyptis caespitosa A.St.-Hil. ex Benth.,,Hyptis caespitosa A.St.-Hil. ex Benth.,
Hyptis dilatata Benth. ,,Hyptis dilatata Benth.,,Hyptis dilatata Benth.,
Hyptis fasciculata Benth. ,sinonimo,Condea undulata (Schrank) Harley & J.F.B. Pastore,,Hyptis fasciculata Benth.,diferente
Hyptis lacustris St-Hil ex Benth.,,Hyptis lacustris A.St.-Hil. ex Benth.,,Hyptis lacustris A.St.-Hil. ex Benth.,
Hyptis lagenaria A. St.-Hil ex Benth,,Hyptis lagenaria A.St.-Hil. ex Benth.,,Hyptis lagenaria A.St.-Hil. ex Benth.,
Hyptis lantaniifolia Poit. ,nao_encontrado,,nao_encontrado,,
Hyptis lappacea Benth.,,Hyptis lappacea Benth.,,Hyptis lappacea Benth.,
Hyptis lorentziana O. Hoffm. ,,Hyptis lorentziana O.Hoffm.,,Hyptis lorentziana O.Hoffm.,
Hyptis mutabilis (Rich.) Briq. ,sinonimo,Cantinoa mutabilis (Rich.) Harley & J.F.B.Pastore,,Hyptis mutabilis (Rich.) Briq.,diferente
Hyptis parkeri Benth. ,,Hyptis parkeri Benth.,,Hyptis parkeri Benth.,
Hyptis recurvata Poit. ,,Hyptis recurvata Poit.,,Hyptis recurvata Poit.,
Hyptis spicigera Lam. ,sinonimo,Cantinoa americana (Aubl.) Harley & J.F.B. Pastore,,Hyptis spicigera Lam.,diferente
Hyptis suaveolens (L.) Poit.,sinonimo,Mesosphaerum suaveolens (L.) Kuntze,,Hyptis suaveolens (L.) Poit.,diferente
Hyptis tetracephala Bordig.,,Hyptis tetracephala Bordignon,,Hyptis tetracephala Bordignon,
Hyptis vilis Kunth & Bouché,nao_encontrado,,,Hyptis vilis K.Koch & C.D.Bouché,
Marsypianthes chamaedrys (Vahl) Kuntze ,,Marsypianthes chamaedrys (Vahl) Kuntze,,Marsypianthes chamaedrys (Vahl) Kuntze,
Ocimum campechianum Mill.,,Ocimum campechianum Mill.,,Ocimum campechianum Mill.,
Prunella vulgaris L. ,,Prunella vulgaris L.,,Prunella vulgaris L.,
Salvia arenaria A. St.-Hil.,,Salvia arenaria A.St.-Hil. ex Benth.,,Salvia arenaria A.St.-Hil. ex Benth.,
Salvia scabrida Pohl,,Salvia scabrida Pohl,,Salvia scabrida Pohl,
Scutellaria minor Huds.,nao_encontrado,,,Scutellaria minor Huds.,
Vitex cymosa Bertero ex Spreng. ,,Vitex cymosa Bertero ex Spreng.,,Vitex cymosa Bertero ex Spreng.,
Vitex megapotamica (Spreng.) Moldenke,,Vitex megapotamica (Spreng.) Moldenke,,Vitex megapotamica (Spreng.) Moldenke,
Cassytha filiformis L. ,,Cassytha filiformis L.,sinonimo,Rhipsalis baccifera (J.S.Muell.) Stearn,diferente
Genlisea filiformis A.St.- Hil.,,Genlisea filiformis A.St.-Hil.,,Genlisea filiformis A.St.-Hil.,
Utricularia adpressa Salzm. ex. A. St. Hil. & Girard ,,Utricularia adpressa Salzm. ex A.St.-Hil. & Girard,,Utricularia adpressa Salzm. ex A.St.-Hilaire & F.Girard,diferente
Utricularia breviscapa Wright ex Griseb.,,Utricularia breviscapa C.Wright ex Griseb.,,Utricularia breviscapa C.Wright ex Griseb.,
Utricularia cucculata A.St.-Hil. & Girard,nao_encontrado,,nao_encontrado,,
Utricularia erectiflora   A. St.-Hil. & Girard ,,Utricularia erectiflora A.St.-Hil. & Girard,,Utricularia erectiflora A.St.-Hil. & Girard,
Utricularia fimbriata Kunth ,,Utricularia fimbriata Kunth,,Utricularia fimbriata Kunth,
Utricularia foliosa L. ,,Utricularia foliosa L.,,Utricularia foliosa L.,
Utricularia gibba L. ,,Utricularia gibba L.,,Utricularia gibba L.,
Utricularia guyanensis A.DC.,,Utricularia guyanensis A.DC.,,Utricularia guyanensis A.DC.,
Utricularia hydrocarpa Vahl,,Utricularia hydrocarpa Vahl,,Utricularia hydrocarpa Vahl,
Utricularia inflata L.,sinonimo,Utricularia breviscapa C.Wright ex Griseb.,sinonimo,Utricularia micropetala Sm.,diferente
Utricularia juncea Vahl,,Utricularia juncea Vahl,,Utricularia juncea Vahl,
Utricularia laciniata A. St.-Hil. and Girard,,Utricularia laciniata A.St.-Hil. & Girard,sinonimo,Utricularia longiciliata A.DC.,diferente
Utricularia laxa St. Hilaire & Girard ,,Utricularia laxa A.St.-Hil. & Girard,,Utricularia laxa St. Hilaire & Girard,diferente
Utricularia myriocista A.St.-Hil. & Girard,,Utricularia myriocista A.St.-Hil. & Girard,,Utricularia myriocista A.St.-Hil. & Girard,
Utricularia nana A.St.-Hil. & Girard,,Utricularia nana A.St.-Hil. & Girard,,Utricularia nana A.St.-Hil. & Girard,
Utricularia neottioides A. St. Hil. & Girard.,,Utricularia neottioides A.St.-Hil. & Girard,,Utricularia neottioides A.St.-Hil. & Girard,
Utricularia nervosa Weber ex Benj.,,Utricularia nervosa G.Weber ex Benj.,,Utricularia nervosa Weber ex Benj.,diferente
Utricularia nigrescens Sylvén,,Utricularia nigrescens Sylvén,,Utricularia nigrescens Sylvén,
Utricularia olivacea Wright ex. Girard,,Utricularia olivacea C.Wright ex Griseb.,,Utricularia olivacea C.Wright ex Griseb.,
Utricularia physoceras P. Taylor,,Utricularia physoceras P.Taylor,,Utricularia physoceras P.Taylor,
Utricularia praelonga A.St.-Hil. & Girard ,,Utricularia praelonga A.St.-Hil. & Girard,,Utricularia praelonga A.St.-Hil. & Girard,
Utricularia poconensis Fromm-Trinta ,,Utricularia poconensis Fromm,,Utricularia poconensis Fromm,
Utricularia pusilla Vahl,,Utricularia pusilla Vahl,,Utricularia pusilla Vahl,
Utricularia reniformis A. St.-Hil.,,Utricularia reniformis A.St.-Hil.,,Utricularia reniformis A. St.-Hil.,diferente
Utricularia simulans Pilg.,,Utricularia simulans Pilg.,,Utricularia simulans Pilg.,
Utricularia subulata L. ,,Utricularia subulata L.,,Utricularia subulata L.,
Utricularia trichophylla Spruce ex. Oliver ,,Utricularia trichophylla Spruce ex Oliv.,,Utricularia trichophylla Spruce ex Oliv.,
Utricularia tricolor  A. St.-Hil,,Utricularia tricolor A.St.-Hil.,,Utricularia tricolor A.St.-Hil.,
